RUN,TEST,TP,QA,QC,LB,DB,PMB,YMB,RMB,SFB,PRESSTS,TEMPTS,ALPHAC,BETA,CLWA,CDWA,CDPWA,CMWA45,CNWA45,CRWA45,CYWA,PMWT,RMWT,MACH,CMUNCORR,CMBA03,CMBA04,CMBA05,CMBA45,CMBA46,CMSA03,CMSA04,CMSA05,CMSA45,CMSA46,CMWA03,CMWA04,CMWA05,CMWA46,CNBA03,CNBA04,CNBA05,CNBA45,CNBA46,CNSA03,CNSA04,CNSA05,CNSA45,CNSA46,CNWA03,CNWA04,CNWA05,CNWA46,CRBA03,CRBA04,CRBA05,CRBA45,CRBA46,CRSA03,CRSA04,CRSA05,CRSA45,CRSA46,CRWA03,CRWA04,CRWA05,CRWA46,CYBA,CYSA,RE_FT,CLBA,CLSA,CDBA,CDSA,Pc_1,Pc_2,P_1,P_2,UP_1,UP_2,CROSS_1,CROSS_2,TRAV_X,TRAV_Y,TRAV_Z
4,2086,3,29.827,29.962,1.869,10.721,-26.289,271.166,105.046,-23.09,14.623,79.773,0.16,12,0.01238,0.07099,0.07099,-0.04955,0.02237,0.00221,-0.1529,-11.525,160.596,0.14257,999,-0.02198,-0.04458,-0.02198,-0.04299,-0.04125,-0.02198,-0.04458,-0.02198,-0.04299,-0.04125,-0.01249,-0.05112,-0.01249,-0.04783,0.01923,0.02414,0.01923,0.02238,0.02046,0.01924,0.02413,0.01924,0.02237,0.02045,0.01924,0.02413,0.01924,0.02045,-0.00369,0.00296,-0.00369,0.00296,0.00296,-0.00364,0.00303,-0.00364,0.00303,0.00302,-0.00394,0.00219,-0.00394,0.00223,-0.16432,-0.16432,962494,0.01249,0.01238,0.03761,0.03765,-0.00394,0.00219,-0.00394,0.00223,-0.16432,-0.16432,-0.00394,0.01249,0.01238,0.03761,0.03765
4,2086,4,29.891,30.027,1.5462,9.97679,-19.373,243.825,102.896,-21.356,14.623,79.761,0.158,11,0.01022,0.06592,0.06592,-0.04277,0.02014,0.00254,-0.14112,-9.14633,147.355,0.14273,999,-0.01563,-0.03753,-0.01563,-0.03622,-0.03478,-0.01563,-0.03753,-0.01563,-0.03622,-0.03478,-0.00863,-0.04407,-0.00863,-0.04135,0.01725,0.02177,0.01725,0.02015,0.01838,0.01726,0.02176,0.01726,0.02014,0.01837,0.01726,0.02176,0.01726,0.01837,-0.003,0.00312,-0.003,0.00312,0.00312,-0.00295,0.00318,-0.00295,0.00318,0.00317,-0.00315,0.00252,-0.00315,0.00256,-0.1511,-0.1511,963553,0.01033,0.01022,0.03776,0.03779,-0.00315,0.00252,-0.00315,0.00256,-0.1511,-0.1511,-0.00315,0.01033,0.01022,0.03776,0.03779
4,2086,5,29.916,30.052,1.2108,9.25165,-11.82,217.025,101.726,-19.767,14.622,79.753,0.157,9.99,0.00799,0.06108,0.06108,-0.0354,0.01801,0.00299,-0.13051,-6.968,133.943,0.14279,999,-0.00874,-0.02972,-0.00874,-0.02869,-0.02756,-0.00874,-0.02972,-0.00874,-0.02869,-0.02756,-0.00409,-0.03643,-0.00409,-0.03428,0.01535,0.01951,0.01535,0.01802,0.01638,0.01535,0.0195,0.01535,0.01801,0.01637,0.01535,0.0195,0.01535,0.01637,-0.00223,0.0034,-0.00223,0.0034,0.0034,-0.00219,0.00346,-0.00219,0.00346,0.00345,-0.00228,0.00297,-0.00228,0.003,-0.13912,-0.13912,963941,0.0081,0.00799,0.03749,0.03752,-0.00228,0.00297,-0.00228,0.003,-0.13912,-0.13912,-0.00228,0.0081,0.00799,0.03749,0.03752
4,2086,6,30.024,30.16,1.0196,8.863,-4.7552,189.145,99.17,-18.053,14.622,79.749,0.157,9,0.00671,0.05831,0.0583,-0.02943,0.01574,0.00327,-0.11876,-5.0625,120.762,0.14305,999,-0.00258,-0.02383,-0.00258,-0.02296,-0.02201,-0.00258,-0.02383,-0.00258,-0.02296,-0.02201,0.00026,-0.03029,0.00026,-0.02848,0.01333,0.01711,0.01333,0.01575,0.01427,0.01333,0.0171,0.01333,0.01574,0.01426,0.01333,0.0171,0.01333,0.01426,-0.00155,0.00357,-0.00155,0.00357,0.00357,-0.00151,0.00362,-0.00151,0.00362,0.00362,-0.00152,0.00327,-0.00152,0.00328,-0.12642,-0.12642,965689,0.00682,0.00671,0.03899,0.03901,-0.00152,0.00327,-0.00152,0.00328,-0.12642,-0.12642,-0.00152,0.00682,0.00671,0.03899,0.03901
4,2086,7,30.061,30.197,0.78967,8.2892,3.5545,164.69,86.644,-15.614,14.623,79.746,0.155,7.99,0.00519,0.05446,0.05446,-0.02169,0.01368,0.00269,-0.10259,-3.3639,107.281,0.14313,999,0.00334,-0.01769,0.00334,-0.01701,-0.01627,0.00334,-0.01769,0.00334,-0.01701,-0.01627,0.00581,-0.02236,0.00581,-0.02095,0.01159,0.01485,0.01159,0.01368,0.0124,0.01159,0.01484,0.01159,0.01368,0.0124,0.01159,0.01484,0.01159,0.0124,-0.00154,0.00288,-0.00154,0.00288,0.00288,-0.00151,0.00292,-0.00151,0.00292,0.00292,-0.00145,0.00269,-0.00145,0.0027,-0.10916,-0.10916,966323,0.0053,0.00519,0.03966,0.03967,-0.00145,0.00269,-0.00145,0.0027,-0.10916,-0.10916,-0.00145,0.0053,0.00519,0.03966,0.03967
4,2086,8,30.074,30.21,0.67078,7.7966,6.4154,148.501,78.536,-13.869,14.623,79.751,0.154,7,0.00441,0.0512,0.0512,-0.01874,0.01229,0.00259,-0.09109,-1.9301,94.039,0.14316,999,0.00536,-0.01541,0.00536,-0.01484,-0.01421,0.00536,-0.01541,0.00536,-0.01484,-0.01421,0.007,-0.01932,0.007,-0.01811,0.01045,0.01334,0.01045,0.0123,0.01117,0.01045,0.01333,0.01045,0.01229,0.01116,0.01045,0.01333,0.01045,0.01116,-0.00118,0.00273,-0.00118,0.00273,0.00273,-0.00115,0.00277,-0.00115,0.00276,0.00276,-0.00109,0.00259,-0.00109,0.0026,-0.09665,-0.09665,966521,0.00452,0.00441,0.03971,0.03972,-0.00109,0.00259,-0.00109,0.0026,-0.09665,-0.09665,-0.00109,0.00452,0.00441,0.03971,0.03972
4,2086,9,30.101,30.238,0.60644,7.421,8.0721,128.281,67.763,-11.85,14.622,79.755,0.149,6,0.00398,0.04869,0.04869,-0.01704,0.01059,0.00224,-0.07776,-0.7562,80.637,0.14323,999,0.00623,-0.01467,0.00623,-0.01415,-0.01358,0.00623,-0.01467,0.00623,-0.01415,-0.01358,0.0074,-0.01755,0.0074,-0.01646,0.00902,0.01148,0.00902,0.0106,0.00963,0.00902,0.01147,0.00902,0.01059,0.00963,0.00902,0.01147,0.00902,0.00963,-0.00099,0.00235,-0.00099,0.00235,0.00235,-0.00097,0.00238,-0.00097,0.00238,0.00237,-0.00091,0.00224,-0.00091,0.00224,-0.08242,-0.08242,966912,0.00409,0.00398,0.04029,0.0403,-0.00091,0.00224,-0.00091,0.00224,-0.08242,-0.08242,-0.00091,0.00409,0.00398,0.04029,0.0403
4,2086,10,30.071,30.207,0.48155,6.9979,11.677,105.332,59.216,-10.16,14.622,79.761,0.144,4.99,0.00316,0.04596,0.04596,-0.01331,0.00876,0.00215,-0.06673,0.20281,67.084,0.14316,999,0.00901,-0.01144,0.00901,-0.01103,-0.01057,0.00901,-0.01144,0.00901,-0.01103,-0.01057,0.00963,-0.01372,0.00963,-0.01285,0.00741,0.00952,0.00741,0.00876,0.00794,0.00741,0.00951,0.00741,0.00876,0.00793,0.00741,0.00951,0.00741,0.00793,-0.00064,0.00221,-0.00064,0.00221,0.00221,-0.00062,0.00224,-0.00062,0.00224,0.00223,-0.00055,0.00215,-0.00055,0.00215,-0.07048,-0.07048,966417,0.00327,0.00316,0.03998,0.03999,-0.00055,0.00215,-0.00055,0.00215,-0.07048,-0.07048,-0.00055,0.00327,0.00316,0.03998,0.03999
4,2086,11,30.042,30.178,0.52935,6.6501,10.587,84.443,51.963,-8.701,14.623,79.766,0.141,3.99,0.00348,0.04372,0.04372,-0.01381,0.0071,0.0022,-0.05721,0.92687,53.653,0.14309,999,0.00799,-0.01241,0.00799,-0.01195,-0.01145,0.00799,-0.01241,0.00799,-0.01195,-0.01145,0.00811,-0.01426,0.00811,-0.01331,0.00595,0.00774,0.00595,0.0071,0.0064,0.00595,0.00774,0.00595,0.0071,0.00639,0.00595,0.00774,0.00595,0.00639,-0.00018,0.00225,-0.00018,0.00225,0.00225,-0.00017,0.00227,-0.00017,0.00227,0.00227,-0.00012,0.00219,-0.00012,0.0022,-0.06011,-0.06011,965972,0.00359,0.00348,0.03963,0.03963,-0.00012,0.00219,-0.00012,0.0022,-0.06011,-0.06011,-0.00012,0.00359,0.00348,0.03963,0.03963
4,2086,12,30.24,30.377,0.66778,6.7221,5.8647,64.201,43.335,-7.9166,14.623,79.777,0.141,2.99,0.00436,0.04391,0.04391,-0.01853,0.00552,0.00231,-0.05171,1.448,40.212,0.14356,999,0.00382,-0.01763,0.00382,-0.01706,-0.01644,0.00382,-0.01763,0.00382,-0.01706,-0.01644,0.00368,-0.01909,0.00368,-0.0179,0.00449,0.00611,0.00449,0.00553,0.0049,0.00449,0.0061,0.00449,0.00552,0.00489,0.00449,0.0061,0.00449,0.00489,0.00019,0.00237,0.00019,0.00237,0.00237,0.0002,0.00239,0.0002,0.00239,0.00239,0.00022,0.00231,0.00022,0.00231,-0.05393,-0.05393,969125,0.00447,0.00436,0.04114,0.04115,0.00022,0.00231,0.00022,0.00231,-0.05393,-0.05393,0.00022,0.00447,0.00436,0.04114,0.04115
